"company_id","name"
"INE00YB01017","A B Infrabuild Limited"
"INE423A01024","Adani Enterprises Limited"
"INE364U01010","Adani Green Energy Limited"
"INE742F01042","Adani Ports and Special Economic Zone Limited"
"INE814H01011","Adani Power Limited"
"INE982B01027","ADF Foods Limited"
"INE0CHO01012","Archidply Decor Limited"
"INE045A01017","Ador Welding Limited"
"INE737B01033","Adroit Infotech Limited"
"INE102I01027","Allied Digital Services Limited"
"INE199C01026","Advani Hotels & Resorts (India) Limited"
"INE837H01020","Advanced Enzyme Technologies Limited"
"INE208C01025","Aegis Logistics Limited"
"INE024001021","Aeroflex Industries Limited"
"INE0BWX01014","Aether Industries Limited"
"INE101I01011","Afcons Infrastructure Limited"
"INE00WC01027","Affle (India) Limited"
"INE692Z01013","Affordable Robotic & Automation Limited"
"INE916Y01019","Akme Fintrade (India) Limited"
"INE00ZE01026","Abans Financial Services Limited"
"INE204E01012","Agarwal Industrial Corporation Limited"
"INE943P01029","Dr. Agarwal's Health Care Limited"
"INE415A01038","AGI Greenpac Limited"
"INE976R01025","Agi Infra Limited"
"INE449G01018","Agri-Tech (India) Limited"
"INE740V01019","Agro Phos India Limited"
"INE583L01014","AGS Transact Technologies Limited"
"INE00PV01013","Ahlada Engineers Limited"
"INE926K01017","Asian Hotels (East) Limited"
"INE758C01029","Ahluwalia Contracts (India) Limited"
"INE212H01026","AIA Engineering Limited"
"INE206F01022","Authum Investment & Infrastructure Limited"
"INE645W01026","Airan Limited"
"INE801L01010","Airo Lam limited"
"INE031B01049","Ajanta Pharma Limited"
"INE274Y01021","Ajax Engineering Limited"
"INE298G01027","Ajmera Realty & Infra India Limited"
"INE820Y01021","Ajooni Biotech Limited"
"INE737W01013","Akash Infra-Projects Limited"
"INE00Y801016","Akg Exim Limited"
"INE642Z01026","AKI India Limited"
"INE256Z01025","Akshar Spintex Limited"
"INE542B01011","AksharChem India Limited"
"INE523B01011","Aksh Optifibre Limited"
"INE09XN01023","Akums Drugs and Pharmaceuticals Limited"
"INE133A01011","Akzo Nobel India Limited"
"INE914E01040","Alankit Limited"
"INE155C01010","Albert David Limited"
"INE426A01027","Alembic Limited"
"INE062D01024","Alicon Castalloy Limited"
"INE03Q201024","Alivus Life Sciences Limited"
"INE773I01017","Alkali Metals Limited"
"INE540L01014","Alkem Laboratories Limited"
"INE150B01039","Alkyl Amines Chemicals Limited"
"INE418H01029","Allcargo Logistics Limited"
"INE835G01018","Alldigi Tech Limited"
"INE326B01035","Almondz Global Securities Limited"
"INE270A01029","Alok Industries Limited"
"INE385I01010","Alpa Laboratories Limited"
"INE137C01018","Alphageo (India) Limited"
"INE093B01015","Alps Industries Limited"
"INE707C01018","Capital Trust Limited"
"INE371P01015","Amber Enterprises India Limited"
"INE792B01012","Ambica Agarbathies & Aroma industries Limited"
"INE540G01014","Ambika Cotton Mills Limited"
"INE079A01024","Ambuja Cements Limited"
"INE00FF01017","Ami Organics Limited"
"INE606A01024","Amj Land Holdings Limited"
"INE275D01022","Amines & Plasticizers Limited"
"INE098F01031","Amrutanjan Health Care Limited"
"INE463V01026","Anand Rathi Wealth Limited"
"INE005I01014","AMD Industries Limited"
"INE253B01015","21st Century Management Services Limited"
"INE421A01028","Aban Offshore Limited"
"INE358A01014","Abbott India Limited"
"INE674K01013","Aditya Birla Capital Limited"
"INE552Z01027","Allied Blenders and Distillers Limited"
"INE647O01011","Aditya Birla Fashion and Retail Limited"
"INE00YB20025","A B Infrabuild Limited-RE"
"INE251C01025","ABM International Limited"
"INE055A01016","Aditya Birla Real Estate Limited"
"INE404A01024","Aditya Birla Sun Life AMC Limited"
"INE012A01025","ACC Limited"
"INE793A01012","Accelya Solutions India Limited"
"INE648Z01023","Accuracy Shipping Limited"
"INE731H01025","Action Construction Equipment Limited"
"INE543V01017","Ace Integrated Solutions Limited"
"INE128X01021","Archean Chemical Industries Limited"
"INE666E01020","Andhra Cements Limited"
"INE152B01027","Allcargo Gati Limited"
"INE242C01024","Anant Raj Limited"
"INE435A01051","ANDHRA PAPER LIMITED"
"INE715B01021","The Andhra Sugars Limited"
"INE732I01013","Angel One Limited"
